state_full,"Number of
participating
agencies",pop_covered,"Agencies
submitting
incident
reports",incidents
Alabama,2,85670,0,0
Alaska,33,727792,5,11
Arizona,92,6395924,17,209
Arkansas,278,2813597,6,9
California,737,39502561,195,1015
Colorado,221,5705335,50,210
Connecticut,102,3373874,40,76
Delaware,63,973764,10,22
District of Columbia,2,705749,2,222
Florida,638,20901840,51,111
Georgia,495,9290789,50,102
Hawaii,1,974902,1,41
Idaho,106,1782402,9,24
Illinois,728,12125954,23,65
Indiana,214,3643904,23,75
Iowa,246,3135918,8,10
Kansas,377,2610898,53,78
Kentucky,410,4460061,67,146
Louisiana,137,3536544,11,26
Maine,134,1344212,10,19
Maryland,153,6045680,9,18
Massachusetts,360,6772985,83,388
Michigan,638,9969410,188,434
Minnesota,379,5533121,35,104
Mississippi,42,882028,5,14
Missouri,571,6077911,28,83
Montana,103,1055460,16,32
Nebraska,130,1813150,23,46
Nevada,48,3070743,5,44
New Hampshire,188,1313554,14,16
New Jersey,556,8638072,208,472
New Mexico,23,819112,6,50
New York,558,18949575,65,611
North Carolina,332,8740258,80,210
North Dakota,109,762062,12,18
Ohio,551,9730885,134,391
Oklahoma,438,3946211,22,28
Oregon,204,4056079,46,175
Pennsylvania,"1,424",12585495,15,41
Rhode Island,48,1058329,10,17
South Carolina,405,5081688,36,68
South Dakota,128,848738,13,20
Tennessee,465,6830634,42,117
Texas,"1,059",28885669,167,456
Utah,121,3077345,14,18
Vermont,89,628664,17,33
Virginia,415,8533624,57,163
Washington,253,7587677,77,542
West Virginia,240,1574978,18,31
Wisconsin,437,5810699,43,74
Wyoming,55,512713,5,5
