,State,HateGroupCount
0,Alabama,16
1,Alaska,2
2,Arizona,21
3,Arkansas,15
4,California,88
5,Colorado,22
6,Connecticut,8
7,Delaware,3
8,District of Columbia,19
9,Florida,67
10,Georgia,38
11,Hawaii,4
12,Idaho,7
13,Illinois,26
14,Indiana,20
15,Iowa,3
16,Kansas,3
17,Kentucky,15
18,Louisiana,21
19,Maine,2
20,Maryland,20
21,Massachusetts,15
22,Michigan,27
23,Minnesota,12
24,Mississippi,12
25,Missouri,21
26,Montana,6
27,Nebraska,6
28,Nevada,9
29,New Hampshire,4
30,New Jersey,21
31,New Mexico,1
32,New York,44
33,North Carolina,32
34,North Dakota,2
35,Ohio,31
36,Oklahoma,10
37,Oregon,15
38,Pennsylvania,36
39,Rhode Island,1
40,South Carolina,17
41,South Dakota,4
42,Tennessee,38
43,Texas,63
44,Utah,5
45,Vermont,2
46,Virginia,36
47,Washington,30
48,West Virginia,4
49,Wisconsin,15
50,Wyoming,1
