,State,HateGroupCount
0,Alabama,27
1,Arizona,18
2,Arkansas,16
3,California,79
4,Colorado,16
5,Connecticut,5
6,Delaware,4
7,District of Columbia,21
8,Florida,63
9,Georgia,32
10,Idaho,12
11,Illinois,32
12,Indiana,26
13,Iowa,4
14,Kansas,7
15,Kentucky,23
16,Louisiana,14
17,Maine,3
18,Maryland,18
19,Massachusetts,12
20,Michigan,28
21,Minnesota,10
22,Mississippi,18
23,Missouri,24
24,Montana,10
25,Nebraska,5
26,Nevada,4
27,New Hampshire,6
28,New Jersey,15
29,New Mexico,2
30,New York,47
31,North Carolina,31
32,North Dakota,1
33,Ohio,35
34,Oklahoma,6
35,Oregon,11
36,Pennsylvania,40
37,Rhode Island,1
38,South Carolina,12
39,South Dakota,7
40,Tennessee,38
41,Texas,55
42,Utah,3
43,Vermont,1
44,Virginia,39
45,Washington,21
46,West Virginia,4
47,Wisconsin,9
48,Wyoming,2
